favorite_count,hashtag,retweet_count,tweet_id
22220,None,6290,851464819735769094
18990,None,5157,851224888060895234
28068,None,8052,850753642995093505
12049,None,2325,850380195714523136
3184,None,301,850333567704068097
15012,None,3385,850145622816686080
18738,None,4355,850019790995546112
27857,None,6797,849776966551130114
0,None,4432,849668094696017920
14647,None,2822,849412302885593088
10533,None,1683,849336543269576704
38922,None,7603,849051919805034497
23226,None,3913,848690551926992896
22778,None,4142,848324959059550208
7528,None,644,848213670039564288
15004,None,2711,848212111729840128
0,None,2913,847978865427394560
0,None,394,847971574464610304
21693,None,4559,847962785489326080
5002,None,1186,847842811428974592
6456,None,376,847617282490613760
17318,None,3075,847606175596138505
18925,None,3907,847251039262605312
18335,None,5242,847157206088847362
19835,None,2869,847116187444137987
18582,None,3541,846874817362120707
41088,None,10346,846514051647705089
13035,None,2752,846505985330044928
29029,None,8146,846153765933735936
28743,None,9141,846139713627017216
14775,None,2581,846042936437604353
26958,None,7842,845812042753855489
23389,None,4371,845677943972139009
7075,None,1616,845397057150107648
21568,None,4845,845306882940190720
0,None,6924,845098359547420673
12648,None,2306,844979544864018432
13906,None,2840,844973813909606400
15267,None,2806,844580511645339650
12673,None,1985,844223788422217728
14081,None,2697,843981021012017153
19914,None,4160,843856843873095681
15663,None,2475,843604394117681152
19930,None,5384,843235543001513987
14191,None,3310,842846295480000512
6282,None,1175,842765311967449089
16877,None,3165,842535590457499648
22681,None,5246,842163532590374912
13005,None,2754,842115215311396866
0,None,13527,841833993020538882
23996,None,7140,841680585030541313
11702,K9VeteransDay,3305,841439858740625411
18384,None,5009,841320156043304961
14712,None,4223,841314665196081154
21298,None,4878,841077006473256960
0,None,1619,840761248237133825
0,None,14563,840728873075638272
163,None,2,840698636975636481
11455,None,889,840696689258311684
8411,None,1619,840632337062862849
15309,None,4171,840370681858686976
17843,None,5204,840268004936019968
12507,None,2063,839990271299457024
25521,None,7050,839549326359670784
0,None,132,839290600511926273
25181,None,5918,839239871831150596
18333,None,3655,838952994649550848
10399,None,1852,838921590096166913
0,GoodDogs,31,838916489579200512
0,None,9997,838831947270979586
10228,None,1229,838561493054533637
